rang,modele,prevision_2026,MAE_MAD,RMSE_MAD,MAPE_pct,R2,MASE,SMAPE_pct,score_global,qualite,meilleur_modele
1,9. SVR (RBF),176666242.76,3563718.26,5527042.05,2.5074,0.7886,0.3331,2.5141,84.65,Excellent,1
2,12. Theta Method,165597837.54,4643522.11,5672319.87,3.4181,0.7773,0.434,3.334,81.01,Excellent,0
3,7. CAGR,172313030.57,4362005.62,6774584.21,3.0675,0.6823,0.4077,3.0864,80.32,Excellent,0
4,2. Régression polynomiale,165092606.09,5195623.64,6055665.5,3.6774,0.7462,0.4856,3.6765,79.09,Excellent,0
5,1. Régression linéaire,164099466.61,5252374.47,6060317.33,3.707,0.7458,0.4909,3.7061,78.95,Excellent,0
6,3. Ridge Regression,162097656.34,5519282.51,6133346.96,3.9011,0.7396,0.5158,3.8973,78.05,Excellent,0
7,4. Prophet,156351273.55,7698431.15,8573580.54,5.5174,0.3905,0.6134,5.4872,66.56,Acceptable,0
8,8. Moyenne pondérée,169305830.04,8109958.32,11934931.87,5.3499,0.0141,0.7579,5.4637,58.61,Acceptable,0
9,11. Bayesian Ridge,142079553.59,8188362.87,12019891.63,5.8419,0.0,0.7653,5.7783,57.12,Acceptable,0
10,5. Lissage Holt,158220754.06,11184488.05,12477938.09,7.8344,-0.0777,1.0453,7.8624,48.58,Acceptable,0
11,6. ARIMA,164710799.04,29211954.33,55921129.97,22.8555,-20.6447,2.7301,43.0247,0.0,À améliorer,0
12,10. LSTM,166302308.36,,,,,,,0.0,À améliorer,0
