id_budget,chapitre,article,paragraphe,ligne,libelle,code_eco,niveau_hierarchique,libelle_court
1,10.0,10.0,10.0,11.0,Indemnités au président et aux conseillers y ayant droit,1290.0,ligne,Indemnités au président et aux conseillers y ayant
2,10.0,10.0,10.0,12.0,Frais de transport du président et des conseillers à l'intérieur du,4211.0,ligne,Frais de transport du président et des conseillers
3,10.0,10.0,10.0,13.0,Frais de transport du président et des conseillers à l'étranger,4212.0,ligne,Frais de transport du président et des conseillers
4,10.0,10.0,10.0,14.0,Frais de déplacement du président et des conseillers à l'intérieur du,4221.0,ligne,Frais de déplacement du président et des conseille
5,10.0,10.0,10.0,15.0,Frais de mission du président et des conseillers à l'étranger,4222.0,ligne,Frais de mission du président et des conseillers à
6,10.0,10.0,10.0,16.0,Frais d'assurance des membres,4930.0,ligne,Frais d'assurance des membres
7,10.0,10.0,20.0,21.0,Achat de petit matériel fongible de décoration et de pavoisement,3910.0,ligne,Achat de petit matériel fongible de décoration et 
8,10.0,10.0,20.0,22.0,Location de matériel des fêtes,4490.0,ligne,Location de matériel des fêtes
9,10.0,10.0,20.0,23.0,Achat d'objets d'art ou cadeaux remis en prix,3990.0,ligne,Achat d'objets d'art ou cadeaux remis en prix
10,10.0,10.0,20.0,24.0,"Frais d'hébergement, de restauration et de réception",4700.0,ligne,"Frais d'hébergement, de restauration et de récepti"
11,10.0,10.0,20.0,25.0,Frais d'animation artistiques et culturelles,4590.0,ligne,Frais d'animation artistiques et culturelles
12,10.0,10.0,30.0,31.0,Cotisation à l'association internationale des Régions froncophones,5910.0,ligne,Cotisation à l'association internationale des Régi
13,10.0,10.0,30.0,32.0,Cotisation à FOGAR,5910.0,ligne,Cotisation à FOGAR
14,10.0,10.0,30.0,33.0,Cotisation de la Région à la conférence des Régions Péréphiriques,5910.0,ligne,Cotisation de la Région à la conférence des Région
15,10.0,10.0,30.0,34.0,Cotisation annuelle à l'association des Régions Marocaines,5910.0,ligne,Cotisation annuelle à l'association des Régions Ma
16,10.0,10.0,30.0,35.0,Cotisation à l'organisation des Cités et Gouvernement Locaux,5910.0,ligne,Cotisation à l'organisation des Cités et Gouvernem
